시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,광진구,감경,여자,85세이상,438 ,19 ,59 ,153 ,173 ,23 ,2 ,0 ,0 ,0 
서울,동대문구,일반,남자,65세미만,70 ,9 ,2 ,15 ,8 ,1 ,2 ,7 ,5 ,0 
서울,동대문구,일반,남자,65-69세,130 ,4 ,14 ,21 ,20 ,5 ,0 ,19 ,7 ,6 
서울,동대문구,일반,남자,70-74세,183 ,13 ,10 ,22 ,49 ,15 ,2 ,21 ,8 ,1 
서울,동대문구,일반,남자,75-79세,294 ,14 ,16 ,59 ,77 ,18 ,7 ,28 ,19 ,4 
서울,동대문구,일반,남자,80-84세,385 ,15 ,25 ,66 ,120 ,41 ,14 ,19 ,14 ,3 
서울,동대문구,일반,남자,85세이상,419 ,10 ,15 ,85 ,135 ,50 ,18 ,33 ,15 ,4 
서울,동대문구,일반,여자,65세미만,50 ,8 ,3 ,1 ,7 ,1 ,0 ,9 ,2 ,0 
서울,동대문구,일반,여자,65-69세,181 ,11 ,7 ,19 ,27 ,9 ,4 ,23 ,9 ,9 
서울,동대문구,일반,여자,70-74세,288 ,8 ,11 ,37 ,49 ,18 ,5 ,44 ,18 ,3 
서울,동대문구,일반,여자,75-79세,583 ,24 ,24 ,93 ,152 ,57 ,19 ,53 ,20 ,9 
서울,동대문구,일반,여자,80-84세,965 ,39 ,48 ,163 ,321 ,88 ,26 ,71 ,34 ,8 
서울,동대문구,일반,여자,85세이상,1093 ,44 ,87 ,233 ,361 ,129 ,15 ,41 ,33 ,7 
서울,동대문구,기초,남자,65세미만,91 ,3 ,4 ,17 ,17 ,5 ,4 ,10 ,5 ,1 
서울,동대문구,기초,남자,65-69세,110 ,6 ,6 ,12 ,27 ,12 ,1 ,10 ,9 ,6 
서울,동대문구,기초,남자,70-74세,82 ,4 ,4 ,14 ,20 ,7 ,2 ,6 ,7 ,4 
서울,동대문구,기초,남자,75-79세,65 ,2 ,1 ,9 ,17 ,8 ,4 ,3 ,9 ,1 
서울,동대문구,기초,남자,80-84세,70 ,0 ,3 ,8 ,26 ,8 ,3 ,4 ,2 ,3 
